id,harvesine_distance,host_response_rate,square_feet,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people
252933,5968.640508934308,1.0,,32.00,,,0.00,10.00,20.00
252967,5972.39455297705,1.0,258.0,32.00,202.00,,,15.00,16.00
252993,5972.465328343791,1.0,280.0,32.00,224.00,,,15.00,16.00
253005,5972.355164469672,1.0,129.0,28.00,180.00,,,15.00,16.00
253128,5969.390601857167,1.0,431.0,49.00,,,100.00,33.00,21.00
254576,5968.212499711506,0.75,,70.00,440.00,,0.00,40.00,10.00
254762,5970.773450302248,1.0,409.0,80.00,380.00,1400.00,200.00,40.00,0.00
254788,5969.7904532984285,1.0,431.0,75.00,450.00,1600.00,100.00,40.00,5.00
255557,5972.035625927204,1.0,377.0,55.00,,,300.00,64.00,13.00
255722,5969.064795716685,,,65.00,420.00,1200.00,150.00,,7.00
255778,5970.3158948101145,0.68,915.0,96.00,,,,30.00,10.00
255829,5958.456266830574,1.0,,51.00,299.00,899.00,,30.00,13.00
256058,5969.514340289728,1.0,,33.00,199.00,599.00,,29.00,0.00
257317,5964.786417743835,1.0,646.0,59.00,,1416.00,100.00,30.00,5.00
257373,5974.219834057413,1.0,0.0,99.00,450.00,1500.00,200.00,49.00,25.00
257658,5973.209179703751,1.0,,49.00,300.00,,150.00,23.00,12.00
257766,5971.739353739408,1.0,,148.00,1100.00,4150.00,500.00,60.00,25.00
260095,5962.691680927496,0.78,,55.00,,,,30.00,15.00
260104,5970.357762690417,1.0,732.0,69.00,,,0.00,36.00,0.00
260365,5968.536291774545,0.67,70.0,69.00,480.00,1300.00,300.00,20.00,0.00
261205,5971.903846526592,,807.0,60.00,400.00,1800.00,400.00,100.00,30.00
261452,5971.020137745345,1.0,,55.00,252.00,756.00,0.00,20.00,5.00
261834,5970.63085977777,1.0,172.0,60.00,,,0.00,0.00,40.00
261937,5968.278413193239,,0.0,29.00,250.00,590.00,500.00,30.00,10.00
263817,5969.150971016167,1.0,,45.00,,,0.00,35.00,35.00
264459,5973.525475244833,1.0,,60.00,,,,25.00,0.00
265286,5973.18262421729,,861.0,75.00,500.00,1500.00,300.00,60.00,20.00
265354,5971.669449020484,,,60.00,,,0.00,0.00,0.00
265389,5971.644802786084,,,19.00,,,0.00,0.00,0.00
265394,5971.699249537124,,,29.00,,,,,0.00
265400,5971.595209904511,,,29.00,,,0.00,0.00,0.00
265402,5971.80560494907,,,9.00,,,0.00,0.00,25.00
265408,5971.863119236817,,,9.00,,,0.00,0.00,24.00
265416,5971.75340288411,,,9.00,,,0.00,0.00,20.00
265433,5971.792843778525,,,9.00,,,0.00,0.00,20.00
265444,5971.777850407707,,,9.00,,,0.00,0.00,20.00
265955,5967.91911759082,1.0,,55.00,399.00,1300.00,1000.00,60.00,12.00
266086,5966.301177506957,1.0,,85.00,,,200.00,37.00,0.00
266181,5971.936897308578,,0.0,48.00,200.00,,150.00,15.00,12.00
267399,5969.164147255944,0.95,0.0,55.00,613.00,2163.00,500.00,40.00,30.00
267764,5973.778011712269,1.0,,129.00,821.00,2600.00,400.00,35.00,10.00
267951,5974.879703124176,1.0,753.0,69.00,420.00,1200.00,250.00,30.00,30.00
268910,5963.745033577139,1.0,517.0,46.00,273.00,1020.00,,,12.00
268967,5970.986402998087,1.0,,55.00,252.00,756.00,,20.00,5.00
268974,5962.885092064397,1.0,0.0,53.00,350.00,900.00,,,10.00
269455,5969.335047334709,,70.0,65.00,300.00,1000.00,800.00,50.00,10.00
270477,5974.73696348686,,,89.00,426.00,1600.00,500.00,65.00,17.00
271340,5973.959885719257,1.0,,70.00,330.00,1200.00,0.00,30.00,0.00
271739,5970.525681967883,1.0,,43.00,,,300.00,10.00,15.00
273011,5967.498980219858,1.0,,125.00,,,2000.00,60.00,20.00
273076,5973.3433414037545,1.0,678.0,61.00,370.00,900.00,200.00,30.00,12.00
273106,5973.6252867705425,1.0,,64.00,410.00,950.00,150.00,32.00,12.00
274072,5975.387661743325,,355.0,60.00,340.00,1200.00,,30.00,0.00
274623,5973.028067287969,,,65.00,,,,30.00,10.00
274686,5970.680253108846,,,80.00,300.00,,400.00,20.00,30.00
274798,5970.748341425287,1.0,,55.00,,,175.00,50.00,25.00
275472,5968.232304440574,0.8,,70.00,,,400.00,60.00,35.00
276044,5968.655137753204,0.86,,50.00,,1095.00,900.00,50.00,10.00
277653,5968.581900432268,0.86,0.0,59.00,455.00,1299.00,1000.00,40.00,10.00
278860,5968.8020843215745,,,65.00,,,300.00,50.00,20.00
279315,5968.765602381597,,,40.00,300.00,780.00,350.00,50.00,10.00
279344,5973.076704535341,0.86,,76.00,490.00,1890.00,200.00,69.00,20.00
279504,5968.515203858038,,753.0,45.00,600.00,2500.00,500.00,150.00,30.00
281152,5975.320244716462,,,60.00,320.00,790.00,500.00,60.00,0.00
282214,5968.733313181464,,17.0,29.00,,650.00,150.00,,0.00
282773,5969.756119358877,1.0,,34.00,340.00,1200.00,800.00,30.00,0.00
282786,5969.540049790946,1.0,,50.00,340.00,1200.00,0.00,30.00,0.00
282797,5969.724782505128,1.0,,34.00,340.00,1200.00,800.00,30.00,0.00
284390,5969.631700922457,,,75.00,,,200.00,40.00,15.00
288484,5969.430034879804,1.0,,65.00,420.00,1100.00,100.00,30.00,15.00
290410,5968.341625594147,1.0,,80.00,350.00,1050.00,,30.00,15.00
292300,5972.969782327952,,,120.00,900.00,3000.00,150.00,35.00,10.00
292864,5973.3215841756655,0.97,248.0,50.00,,,69.00,12.00,5.00
295675,5968.639239095399,1.0,,54.00,,,,20.00,10.00
297521,5971.893537785786,0.5,,29.00,175.00,560.00,,15.00,10.00
297594,5967.951588090083,0.95,,30.00,500.00,1700.00,0.00,0.00,20.00
298056,5969.324021334725,,753.0,40.00,,1199.00,0.00,50.00,10.00
301773,5973.796066757242,,,64.00,500.00,1260.00,,35.00,10.00
301887,5968.63597795517,0.86,0.0,55.00,,1085.00,800.00,50.00,10.00
302167,5973.924340216741,,,66.00,420.00,1300.00,,35.00,15.00
303097,5973.455129138996,1.0,194.0,66.00,350.00,890.00,300.00,25.00,10.00
304904,5975.506838279109,1.0,0.0,37.00,169.00,550.00,0.00,15.00,8.00
305987,5974.937396689835,1.0,,69.00,370.00,1200.00,100.00,30.00,10.00
306041,5970.655261936425,1.0,,60.00,,,0.00,0.00,40.00
306312,5974.456509230906,1.0,,165.00,790.00,1950.00,200.00,80.00,20.00
306502,5967.990575686442,,409.0,70.00,190.00,,200.00,20.00,0.00
306829,5970.125008833325,,,38.00,230.00,690.00,,30.00,15.00
307587,5973.484099328347,,570.0,69.00,,,100.00,15.00,0.00
308421,5974.726599053934,0.86,269.0,35.00,,,,20.00,15.00
309511,5974.301464926671,,0.0,65.00,350.00,,100.00,,0.00
311703,5968.522037709941,1.0,1400.0,235.00,,,300.00,75.00,15.00
313876,5967.602796106781,1.0,452.0,38.00,260.00,990.00,600.00,90.00,10.00
315533,5967.406860597729,,495.0,54.00,345.00,950.00,,50.00,30.00
316327,5972.422255536829,1.0,,30.00,,,0.00,10.00,25.00
316366,5967.464560484815,,,31.00,,720.00,700.00,40.00,0.00
316462,5972.625658197924,1.0,807.0,84.00,470.00,1350.00,100.00,35.00,24.00
316547,5973.612328580558,0.75,,45.00,200.00,750.00,200.00,25.00,20.00
320028,5965.39363128278,1.0,258.0,43.00,270.00,1050.00,,15.00,18.00
320279,5973.388868210348,1.0,,77.00,398.00,1200.00,150.00,55.00,20.00
320305,5972.285267123229,,,38.00,250.00,,0.00,15.00,10.00
321295,5964.829614119197,1.0,,39.00,,,100.00,20.00,0.00
321308,5964.688987484894,1.0,0.0,44.00,,,100.00,25.00,5.00
321378,5973.548174560499,1.0,,149.00,,,180.00,49.00,20.00
322463,5974.830941533182,,0.0,87.00,,,200.00,0.00,10.00
322520,5974.993452105832,,0.0,95.00,,,200.00,0.00,10.00
323243,5968.512048346177,,,27.00,,,100.00,0.00,15.00
323250,5968.490244445517,,,27.00,,,100.00,0.00,14.00
323255,5968.666193957716,,,27.00,,,100.00,0.00,15.00
323259,5968.514931381959,,,27.00,,,100.00,0.00,15.00
323260,5968.625917838414,,,36.00,,,100.00,0.00,12.00
323920,5968.957161631678,,,30.00,100.00,,0.00,0.00,0.00
323951,5968.762003881605,,,30.00,,,,,14.00
325979,5964.295685404218,1.0,,55.00,350.00,1000.00,,55.00,20.00
326566,5978.943130191064,1.0,,28.00,120.00,420.00,0.00,20.00,25.00
326608,5970.658302061728,,,72.00,360.00,990.00,,30.00,12.00
327442,5966.84968626474,,,35.00,,380.00,,,0.00
327773,5973.803918336857,1.0,,40.00,300.00,1000.00,,15.00,20.00
